monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Bagmati River At Darbanga, Samastipur Road Bridge,",3135,25.7747885,85.8672314,"samastipur, Bihar, India",True
"Poonpun River Near Poonpun Rail Bridge, Bihar",3119,25.8027508,85.0398985,"rail bihar, Bihar, India",True
"Poonpun River Near Kinzer Road Bridge, Bihar",3120,25.1672903,85.5502398,"bihar, Bihar, India",True
"Bore Well Water At Katra Bazar Water Tank, Malsalami, Patna",1825,25.6093239,85.1235252,"patna, Bihar, India",True
"Ground Water From Tap Water Coming From Over Head Tank Pmch Campus, Patna",1827,25.5994865,85.1302094,"campus patna, Bihar, India",True
"Ground Water Near Tap Water In Campus Of Kali Asthan, Begusarai",1832,25.5125411,86.0883392,"begusarai, Bihar, India",True
"Ground Water Near Tap Water In Campus Of S.P Office, Pokharia, Begusarai",1833,25.4196078,86.1361505,"pokharia begusarai, Bihar, India",True
Ground Water From Begusarai,1837,25.5125411,86.0883392,"begusarai, Bihar, India",True
"Ground Water From Tap Water Near Veer Kuwar Singh Chowk, Munger",1838,25.2202864,86.5161484,"munger, Bihar, India",True
Ground Water From Saharsa,2594,25.8330757,86.6143751,"saharsa, Bihar, India",True
Ground Water From Samastipur,2595,25.7747885,85.8672314,"samastipur, Bihar, India",True
Ground Water From Sitamarhi,2596,26.5942841,85.500428,"sitamarhi, Bihar, India",True
Ground Water From Vaishali,2600,25.7491703,85.3972164,"vaishali, Bihar, India",True
Ground Water From Bikramganj,3142,25.2183925,84.2324476,"bikramganj, Bihar, India",True
Ground Water From Jaynagar,3147,26.5902775,86.1356516,"jaynagar, Bihar, India",True
Ground Water From Jamalpur,3148,25.3138767,86.4897172,"jamalpur, Bihar, India",True
Ground Water From Mohania,3151,25.1676579,83.621622,"mohania, Bihar, India",True
Ground Water From Narkatiaganj,3152,27.0968882,84.4585344,"narkatiaganj, Bihar, India",True
Ground Water From Supual,3155,,,,False
Ground Water From Sultanganj,3157,25.2414966,86.7349906,"sultanganj, Bihar, India",True
Ground Water From Shahpur,3159,25.6592586,84.4294758,"shahpur, Bihar, India",True
"Sikandrapur, Muzaffarpur",4296,26.1482548,85.3316097,"muzaffarpur, Bihar, India",True
"Kochbihar Lake (Sagar Dighi), Coochbehar",2519,26.3136594,89.4514032,"coochbehar, Bihar, India",True
"River Dhons At Madhwapur, Madhubani",4405,26.5325132,85.8553124,"madhwapur madhubani, Bihar, India",True
"Harha River At Bagha, Lauriya Road Bridge",4399,27.0039928,84.4262158,"lauriya, Bihar, India",True
River Lakhandei Sitamarhi U/S,4400,26.8036513,85.5102236,"lakhandei sitamarhi, Bihar, India",True
River Lakhandei Sitamarhi D/S,4401,26.8036513,85.5102236,"lakhandei sitamarhi, Bihar, India",True
"River Ganga At U/S Jail Ghat, Buxar",10113,25.5199302,83.9026043,"ghat buxar, Bihar, India",True
Ganga At D/S Buxar Near Road Bridge,3113,25.5044834,84.1097525,"buxar, Bihar, India",True
Rive Ganga At U/S Barahpur Bindtoli,10131,,,,False
Ganga At Ara-Chhapra Road Bridge (Koilwer Banura- Chhapra Road),10162,25.7733443,84.7849772,"chhapra, Bihar, India",True
"River Ganga Ta Maa Ambika Asthan, Aami, Saran",10114,25.9214451,84.7759731,"saran, Bihar, India",True
"Ganga Near Danapur (Near Pipa Pul) ,Patna",3114,25.5499638,85.2813696,"pipa patna, Bihar, India",True
"Ganga At Kurji, Patna U/S",1077,25.6426637,85.1004656,"kurji patna, Bihar, India",True
"Ganga At Gandhighat, Nit At Patna",2552,25.6093239,85.1235252,"patna, Bihar, India",True
"River Ganga Ta Gulabi Ghat, Patna",10115,25.5876533,85.238043,"ghat patna, Bihar, India",True
"Ganga At Patna D/S (Ganga Bridge), Gaighat",1079,26.1419165,85.6535113,"gaighat, Bihar, India",True
"Kachchi-Dargah-Bidupur Road Bridge, Patna",4297,25.5905442,85.3022517,"dargah bidupur patna, Bihar, India",True
"River Ganga At Triveni Ghat, Patna",10122,25.5876533,85.238043,"ghat patna, Bihar, India",True
"Ganga At Kewala Ghat,Fatuha, Patna",2553,25.5085264,85.3099134,"fatuha patna, Bihar, India",True
"Bakhtiyarpur-Tajpur Bridge On Ganga, Athmalgola, Patna",4301,25.4521197,85.5974084,"athmalgola patna, Bihar, India",True
"River Ganga At D/S Nawadghat, Barh, Patna",10130,25.4509766,85.7002486,"barh patna, Bihar, India",True
"Ganga At Mokama (U/S), Mahadeo Asthan, Patna",1817,25.5776054,85.0406031,"asthan patna, Bihar, India",True
"Ganga River At Barahiya, Nepalitola, Maranchi, ;Lakshisarai",3123,,,,False
"Ganga At U/S Sultanganj, Bhagalpur",3117,25.2414966,86.7349906,"sultanganj bhagalpur, Bihar, India",True
"Ganga River At Water Intake Point, Bhagalpur",4398,25.2861354,87.1304229,"bhagalpur, Bihar, India",True
"River Ganga At Champanagar, Bhagalpur",10138,25.2861354,87.1304229,"bhagalpur, Bihar, India",True
Ganga At U/S Bhagalpur Near Bararighat,3118,,,,False
"Ghaghara Near Chapra, Ribilganj, Saran",1076,25.9214451,84.7759731,"saran, Bihar, India",True
"Sone At Koelwar, Bhojpur",1075,25.5693726,84.7927554,"koelwar bhojpur, Bihar, India",True
"Sone River Near Banzari, Rohtas",3121,24.9394143,84.0197031,"rohtas, Bihar, India",True
"Sone River At Bahiyara, Bhojpur",3127,25.5345016,84.7600817,"bahiyara bhojpur, Bihar, India",True
"Sone River At Nasiriganj Dam, Rohtas",3128,24.9394143,84.0197031,"rohtas, Bihar, India",True
"Sone At Indrapuri, Dehri On Sone, Rohtas",2556,24.9057108,84.1771979,"dehri sone rohtas, Bihar, India",True
"Sone At Obra, Aurangabad",4406,24.9377167,84.4326295,"obra aurangabad, Bihar, India",True
"Sone At Water Intake Point Bhartiya Rail Bijali Co. Ltd (Brbcl) Navinagar, Aurangabad",4407,24.8033201,84.4110198,"aurangabad, Bihar, India",True
