stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
3564,Borewell Water Near Mangalijyothi School Msw Site Vammanjoor,Pond/Tank,KARNATAKA,2021,Unsafe,5.847,"BOD, Fecal Coliform",27.5,,7.0,158.5,3.0,5.77,466.0,940.0,,,,"borewell water mangalijyothi school msw site vammanjoor, Karnataka, India",False
1444,"River Kali At D/S West Coast Paper Mill (Wcpm) ,",River,KARNATAKA,2021,Unsafe,2.1,BOD,27.0,7.6,7.4,85.5,2.6,0.92,48.5,142.5,,,,"kali west coast paper mill wcpm, Karnataka, India",False
2780,"River Kali At U/S Of Wcpm, Dandeli,",River,KARNATAKA,2021,Unsafe,1.4,BOD,26.5,7.5,7.25,85.0,2.4,0.17,37.0,117.5,,15.2490284,74.6236037,"dandeli, Karnataka, India",True
1894,River Kumaradhara - U/S Of Uppinagady Town Before Confluence With Nethravathi,River,KARNATAKA,2021,Unsafe,5.611,Fecal Coliform,28.5,7.35,7.15,133.0,2.0,2.45,820.0,865.0,,13.0898321,77.5424946,"nethravathi, Karnataka, India",True
3562,River Netravathi At Thumbe Water Supply Stations To Mangalore City,River,KARNATAKA,2021,Unsafe,5.597,Fecal Coliform,28.5,7.35,7.15,142.0,2.0,3.15,808.5,880.0,,13.0222347,77.5671832,"city, Karnataka, India",True
3563,River Netravathi At U/S Of Upiingady Town,River,KARNATAKA,2021,Unsafe,5.857,"BOD, Fecal Coliform",28.5,7.6,7.05,151.0,2.5,2.5,816.5,940.0,,13.1016788,77.5756532,"town, Karnataka, India",True
1892,River Netravathi U/S Of Dharmastala At Water Supply Intake Point,River,KARNATAKA,2021,Unsafe,5.6,Fecal Coliform,28.5,7.1,7.05,133.0,2.0,2.35,810.5,880.0,,12.9519571,75.3813122,"dharmastala, Karnataka, India",True
30051,River Godavari At Baser(Bangalore),River,KARNATAKA,2021,Safe,0.0,,,6.8,7.4,680.0,1.8,7.12,6.0,26.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
1891,River Manjeera At D/S In Intake Point To Bidar City,River,KARNATAKA,2021,Unsafe,5.248,"BOD, Fecal Coliform",27.0,6.5,7.95,500.0,2.5,0.34,460.0,2210.0,,13.0222347,77.5671832,"city, Karnataka, India",True
30055,River Manjeera At Janwada(Bangalore),River,KARNATAKA,2021,Unsafe,4.179,"BOD, Fecal Coliform",,,8.4,498.0,2.5,0.32,170.0,920.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
1889,River Krishna - Ankali Bridge Along Chikkodi Kagwad Road,River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,26.5,6.45,8.15,518.0,1.9,4.6,730.0,1270.0,410.0,16.6960786,74.7187223,"kagwad, Karnataka, India",True
1182,"River Krishna At U/S Of Ugarkhurd Barrage,",River,KARNATAKA,2021,Unsafe,5.736,Fecal Coliform,27.5,6.65,8.05,520.0,1.9,4.305,930.0,1600.0,410.0,,,,False
2781,"River Krishna At D/S Of Alamatti Dam,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,28.5,6.9,8.15,1138.0,1.9,3.93,730.0,1260.0,445.0,16.3451718,75.8923516,"alamatti, Karnataka, India",True
1181,"River Krishna At D/S Of Narayanpura Dam,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,28.5,6.95,8.2,1461.0,1.85,3.465,730.0,1260.0,390.0,15.4559068,74.9922057,"krishna narayanpura, Karnataka, India",True
1028,"River Krishna At Tintini Bridge,",River,KARNATAKA,2021,Unsafe,5.229,"BOD, Fecal Coliform",28.0,7.3,8.15,978.0,2.8,0.35,397.0,1670.0,,,,,False
1170,"River Krishna At D/S Of Devasagar Bdg.,",River,KARNATAKA,2021,Unsafe,4.859,"BOD, Fecal Coliform",28.5,7.5,8.25,1011.0,2.5,0.3,330.0,1860.0,,,,,False
30056,River Krishna At Deodurga (Bangalore),River,KARNATAKA,2021,Unsafe,3.962,"BOD, Fecal Coliform",26.0,7.0,8.4,1290.0,2.5,0.3,170.0,920.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
30057,River Bhima At Gangapur (Bangalore),River,KARNATAKA,2021,Unsafe,5.95,"BOD, Fecal Coliform",29.0,7.4,8.3,1420.0,3.0,0.32,700.0,3500.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
1183,"River Bhima At D/S Of Road Bridge At Gangapur Village,",River,KARNATAKA,2021,Unsafe,5.865,"BOD, Fecal Coliform",29.0,7.4,7.7,1420.5,3.0,0.7,645.0,2950.0,,12.9305838,77.6920571,"village, Karnataka, India",True
1184,"River Bhima At Ferozabad Village (D/S),",River,KARNATAKA,2021,Unsafe,6.176,"BOD, Fecal Coliform",29.5,7.2,8.15,1274.0,2.9,1.2,920.0,5060.0,,12.9305838,77.6920571,"village, Karnataka, India",True
1167,"River Bhima At D/S Of Bdg. Near Yadgir,",River,KARNATAKA,2021,Unsafe,5.013,"BOD, Fecal Coliform",29.0,7.1,7.95,858.0,2.5,0.56,375.0,1860.0,,16.5744123,76.9254434,"yadgir, Karnataka, India",True
1888,River Bhima At Confluence Of Jewargi Town Sewage Disposal Point,River,KARNATAKA,2021,Unsafe,5.926,"BOD, Fecal Coliform",29.5,7.35,8.25,1196.0,2.5,0.955,875.0,3500.0,,13.3067379,77.6125389,"disposal, Karnataka, India",True
1163,"River Ghatprabha At W.A. Point To Gokak Town,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,25.5,6.55,7.95,455.0,1.75,3.65,730.0,1260.0,380.0,13.1016788,77.5756532,"town, Karnataka, India",True
1185,"River Ghatprabha At D/S Of Mudhol Rd. Cross Bdg.,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,20.5,6.05,8.15,974.0,1.95,3.85,730.0,1260.0,445.0,12.9529035,77.5158003,"cross, Karnataka, India",True
1187,"River Malprabha At D/S Of Khanapur Village,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,25.5,7.6,7.8,319.0,1.95,6.31,730.0,1600.0,410.0,12.9305838,77.6920571,"village, Karnataka, India",True
1164,"River Malprabha At Water Abstr. Pt. To Hubli, Dharwar,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,25.5,7.35,7.65,299.0,1.55,7.25,730.0,1260.0,410.0,15.4540505,75.0066516,"dharwar, Karnataka, India",True
1186,"River Malprabha At D/S Of Aihole Town,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,19.0,6.6,8.4,984.0,1.95,4.65,730.0,1260.0,410.0,13.1016788,77.5756532,"town, Karnataka, India",True
2764,"River Malprabha At Badami Bridge,",River,KARNATAKA,2021,Unsafe,5.494,Fecal Coliform,18.5,6.35,8.05,982.0,1.95,4.25,730.0,1260.0,600.0,15.9203874,75.6807865,"badami, Karnataka, India",True
29,River Tungabhadra At Ullanur,River,KARNATAKA,2021,Unsafe,5.185,"BOD, Fecal Coliform",28.0,7.25,8.15,767.5,2.5,0.35,435.0,2210.0,2.0,,,,False
2767,"River Tungabhadra At U/S Of Hpf,",River,KARNATAKA,2021,Unsafe,2.043,BOD,26.0,7.0,8.0,349.0,2.55,0.55,,,,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
2768,"River Tungabhadra At D/S Of Hpf,",River,KARNATAKA,2021,Unsafe,7.476,"DO, BOD",27.0,5.75,7.9,470.0,4.2,0.75,,,,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
2769,"River Tungabhadra At Jackwell Point,",River,KARNATAKA,2021,Unsafe,4.086,BOD,27.5,6.0,7.8,380.0,3.1,0.41,,,,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
3558,River Tungabhadra At Dadesugur Bridge Gauging Station,River,KARNATAKA,2021,Unsafe,5.465,"BOD, Fecal Coliform",29.0,7.3,8.0,1061.5,2.5,0.595,560.0,2550.0,,12.4235961,76.683307,"station, Karnataka, India",True
4494,River Tungabhadra At Mylara,River,KARNATAKA,2021,Unsafe,2.786,BOD,27.0,6.9,7.95,375.0,2.75,0.45,,,,12.9746645,77.5324339,"mylara, Karnataka, India",True
4495,River Tungabhadra At Aravi,River,KARNATAKA,2021,Unsafe,2.229,BOD,27.0,6.7,7.85,380.0,2.6,0.35,,,,,,,False
30054,River Tungabhadra At Hochechalli (Bangalore),River,KARNATAKA,2021,Unsafe,6.334,"BOD, Fecal Coliform",,7.0,8.4,1563.0,3.6,0.7,280.0,1600.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
2770,"River Tungabhadra At Harihar Water Supply Intake,",River,KARNATAKA,2021,Unsafe,6.5,BOD,26.0,6.25,7.7,396.0,3.75,0.8,,,,14.5116874,75.809288,"harihar, Karnataka, India",True
2776,"River Tungabhadra At D/S Of Gangawathi,",River,KARNATAKA,2021,Unsafe,4.971,"BOD, Fecal Coliform",28.0,7.5,8.1,470.0,2.5,0.3,362.0,1670.0,,,,,False
2766,"River Tungabhadra At New Bridge,",River,KARNATAKA,2021,Unsafe,1.857,BOD,26.0,7.15,7.95,329.5,2.5,0.55,,,,15.9648343,77.366508,"tungabhadra, Karnataka, India",True
