stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg,latitude,longitude,geocode_query,geocoded
3564,Borewell Water Near Mangalijyothi School Msw Site Vammanjoor,Pond/Tank,KARNATAKA,2022,Safe,9.12,,27.5,,7.2,179.0,3.0,3.255,52.5,530.0,,,,"borewell water mangalijyothi school msw site vammanjoor, Karnataka, India",False
2780,"River Kali At U/S Of Wcpm, Dandeli",River,KARNATAKA,2022,Safe,5.63,,25.5,7.55,7.1,77.0,2.4,0.32,53.0,117.0,27.0,15.2490284,74.6236037,"dandeli, Karnataka, India",True
1444,River Kali At D/S West Coast Paper Mill (Wcpm),River,KARNATAKA,2022,Safe,6.15,,26.5,7.55,7.1,92.0,2.6,0.32,67.5,139.5,45.0,,,"kali west coast paper mill wcpm, Karnataka, India",False
1894,River Kumaradhara U/S Of Uppinagady Town Before Confluence With Nethravathi,River,KARNATAKA,2022,Safe,4.91,,28.5,7.3,7.5,147.5,2.0,1.51,50.5,340.0,,13.0898321,77.5424946,"nethravathi, Karnataka, India",True
3562,River Netravathi At Thumbe Water Supply Stations To Mangalore City,River,KARNATAKA,2022,Safe,5.05,,28.0,7.15,7.35,158.0,2.0,1.895,56.5,480.0,,13.0222347,77.5671832,"city, Karnataka, India",True
3563,River Netravathi At U/S Of Uppinangadi Town,River,KARNATAKA,2022,Safe,7.24,,28.5,7.1,7.55,148.0,3.0,1.87,57.5,435.0,,13.1016789,77.5756532,"town, Karnataka, India",True
1892,River Netravathi U/S Of Dharmastala At Water Supply Intake Point,River,KARNATAKA,2022,Safe,5.05,,28.5,7.25,7.45,146.0,2.0,1.515,57.0,480.0,,12.9519571,75.3813122,"dharmastala, Karnataka, India",True
30051,River Godavari At Baser(Bangalore),River,KARNATAKA,2022,Safe,6.68,,,6.9,7.48,710.0,2.4,7.0,,22.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
1891,River Manjeera At D/S Intake Point To Bidar City,River,KARNATAKA,2022,Safe,5.77,,33.5,6.3,8.05,577.5,2.1,0.55,132.0,730.0,,13.0222347,77.5671832,"city, Karnataka, India",True
30055,River Manjeera At Janwada(Bangalore),River,KARNATAKA,2022,Safe,5.94,,28.0,8.1,7.6,532.0,2.1,4.22,140.0,900.0,,12.9767936,77.590082,"bangalore, Karnataka, India",True
1889,River Krishna - Ankali Bridge Along Chikkodi Kagwad Road,River,KARNATAKA,2022,Unsafe,7.59,High Fecal Coliform,27.0,7.3,8.205,576.0,1.7,23.835,635.0,1600.0,390.0,16.6960786,74.7187223,"kagwad, Karnataka, India",True
